name,price,Brand,link,
"G850F  Galaxy Alpha  4.7\  32GB  2GB RAM  2.5 GHz OctaCore  12 MP  Charcoal Black (Brand Warranty)""",†33499,Samsung†,https://www.daraz.pk/g850f-galaxy-alpha-4.7-32gb-2gb-ram-2.5-ghz-quad-core-12-mp-charcoal-black-brand-warranty-samsung-mpg6044.html,
Voice V15 With Music Headphones White,†6000,Voice†,https://www.daraz.pk/voice-voice-v15-with-music-headphones-white-4223994.html,
"Aqua Dream II  Dual Sim  5.5\  8 GB  1 GB RAM  1.2 Ghz Quadcore  8 MP Camera  White (Brand Warranty)""",†11600,INTEX†,https://www.daraz.pk/aqua-dream-ii-dual-sim-5.5-8-gb-1-gb-ram-8-mp-camera-gold-brand-warranty-intex-mpg3906.html,
D6653 Xperia Z3 Single  16GB  4G LTE   Black,†42000,Sony†,https://www.daraz.pk/sony-d6653-xperia-z3-single-16gb-4g-lte-black-82816.html,
"C301  5 MP  2.4\  1050 mAh  Silver""",†9999,Nokia†,https://www.daraz.pk/nokia-c3-01-5-mp-2.4-1050-mah-silver-5406562.html,
"RM1069  Lumia 435  4\   8 GB  1 GB RAM  1.2 GHz Dualcore  2 MP Camera  Black (Brand Warranty)""",†7400,Microsoft†,https://www.daraz.pk/rm-1069-lumia-435-4-8-gb-hdd-1-gb-ram-2-mp-camera-black-brand-warranty-microsoft-mpg797.html,
One Mini 2  16 GB  4G  Amber Gold,†30000,HTC†,https://www.daraz.pk/one-mini-2-16-gb-4g-amber-gold-daraz-warranty-htc-mpg3780.html,
Xperia TX   4.55  16 GB  1 GB RAM  Pink,†13000,Sony†,https://www.daraz.pk/xperiatx-pink-brand-warranty-sony-mpg7132.html,
"RM984  Lumia 830  5\  16 GB  1 GB RAM  10 MP Camera  White (Brand Warranty)""",†45400,Microsoft†,https://www.daraz.pk/rm-984-lumia-830-5-16-gb-1-gb-ram-10-mp-camera-white-brand-warranty-microsoft-mpg4862.html,
One XL  32 GB  4G  White,†29000,HTC†,https://www.daraz.pk/one-xl-32-gb-4g-white-htc-mpg8164.html,
"RM941 Lumia 625 3G  4.7\  8 GB HDD  512 MB RAM  1.2 GHz Dualcore  5 MP Camera  Black (Brand Warranty)""",†20700,Microsoft†,https://www.daraz.pk/rm-941-lumia-625-4.7-8-gb-hdd-512-mb-ram-1.2-ghz-dual-core-5-mp-camera-black-brand-warranty-microsoft-mpg4787.html,
"RM1045  Lumia 930  5.0\  32 GB  2 GB RAM  2.2 GHz Quadcore  20 MP Camera  Black  (Brand Warranty)""",†49900,Microsoft†,https://www.daraz.pk/rm-1045-lumia-930-5.0-32-gb-hdd-2-gb-ram-20-mp-camera-black-brand-warranty-microsoft-mpg125.html,
"P8 LITE  5\  Dual Sim  4G  16 GB  2 GB RAM  1.2 GHz Octacore  13 MP Camera  Black (Brand Warranty)""",†21569,Huawei†,https://www.daraz.pk/p8-lite-5.0-16-gb-2-gb-ram-13-mp-camera-black-brand-warranty-huawei-mpg932.html,
Honor 4C  3G  Dual Sim  5.0î  8 GB  2 GB RAM  1.2 GHz Octacore  13 MP Camera  White (Brand Warranty),†16585,Huawei†,https://www.daraz.pk/honor-4c-dual-sim-5.0-8-gb-2-gb-ram-1.2-ghz-octa-core-13-mp-camera-white-brand-warranty-huawei-mpg3789.html,
Honor 4C 3G  Dual Sim  5.0î  8 GB  2 GB RAM  1.2 GHz Octacore  13 MP Camera  Gold (Brand Warranty),†16574,Huawei†,https://www.daraz.pk/honor-4c-dual-sim-5.0-8-gb-hdd-2-gb-ram-13-mp-camera-gold-brand-warranty-huawei-mpg832.html,
Honor 4C  3G  Dual Sim  5.0î  8 GB  2 GB RAM  1.2 GHz Octacore  13 MP Camera  White (Brand Warranty),†16574,Huawei†,https://www.daraz.pk/honor-4c-dual-sim-5.0-8-gb-hdd-2-gb-ram-13-mp-camera-white-brand-warranty-huawei-mpg820.html,
J500  Dual Sim  2.6''  VGA Camera  Black (Brand Warranty),†1990,RIVO†,https://www.daraz.pk/j-500-dual-sim-2.6-vga-camera-black-brand-warranty-rivo-mpg692.html,
Honor 4C 3G  Dual Sim  5.0î  8 GB  2 GB RAM  1.2 GHz Octacore  13 MP Camera  Black (Brand Warranty),†16574,Huawei†,https://www.daraz.pk/honor-4c-dual-sim-5.0-8-gb-hdd-2-gb-ram-13-mp-camera-black-brand-warranty-huawei-mpg821.html,
"RM1090  Lumia 535  Dual Sim  5.0\  8 GB  1 GB RAM  1.2 GHz Quadcore  5 MP Camera  Black (Brand Warranty)""",†11525,Microsoft†,https://www.daraz.pk/rm-1090-lumia-535-dual-sim-5.0-8-gb-hdd-1-gb-ram-5-mp-camera-black-brand-warranty-microsoft-mpg144.html,
"RM1090  Lumia 535  Dual Sim  5.0\  8 GB  1 GB RAM  1.2 GHz Quadcore  5 MP Camera  Orange (Brand Warranty)""",†11525,Microsoft†,https://www.daraz.pk/rm-1090-lumia-535-dual-sim-5.0-8-gb-hdd-1-gb-ram-5-mp-camera-orange-brand-warranty-microsoft-mpg127.html,
"Y625  5\  4GB HDD  1GB RAM  8MP Camera  Black (Brand Warranty)""",†11950,Huawei†,https://www.daraz.pk/y625-5-4gb-hdd-1gb-ram-8mp-camera-black-brand-warranty-huawei-mpg783.html,
"V60  Xtreme  Dual Sim  4.5\  4 GB  1 GB RAM  1.2 Ghz Quad Core  12 MP Camera  Blue (Brand Warranty)""",†8800,Voice†,https://www.daraz.pk/xtreme-v-60-blue-brand-warranty-voice-mpg7630.html,
A220  Advance  Dual Sim  2.4''  VGA Camera  Black (Brand Warranty),†1690,RIVO†,https://www.daraz.pk/a-220-advance-dual-sim-2.4-vga-camera-black-brand-warranty-rivo-mpg163.html,
"RM1040  Lumia 730   Dual Sim  4.7\  8 GB  1 GB RAM  1.2 GHz Quadcore  6.7 MP Camera  White (Brand Warranty)""",†20750,Microsoft†,https://www.daraz.pk/rm1040-lumia-730-dual-sim-4.7-8-gb-1-gb-ram-1.2-ghz-quad-core-6.7-mp-camera-white-brand-warranty-microsoft-mpg4830.html,
